"identifier","voertuigen","jaar","maand","wegcategorie","naam","stad"
"1092002419","63145.0","2016","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","58883.0","2017","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63435.0","2017","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66004.0","2017","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66607.0","2017","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66170.0","2017","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","67205.0","2017","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63107.0","2017","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66566.0","2017","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","67641.0","2017","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","69065.0","2017","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65032.0","2017","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","62217.0","2018","1","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64750.0","2018","2","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","65005.0","2018","3","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","67988.0","2018","4","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","67397.0","2018","5","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","63338.0","2018","6","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64868.0","2018","7","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66379.0","2018","8","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","66648.0","2018","9","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","67191.0","2018","10","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"1092002419","64404.0","2018","11","10","van Parking Groot-Bijgaarden tot Ternat richting Oostende","Gent"
"12653001796","47088.0","2010","1","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","52365.0","2010","2","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","55130.0","2010","3","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","53768.0","2010","4","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
"12653001796","54512.0","2010","5","10","van Vilvoorde Cargo tot Zemst richting Antwerpen","Brussel"
